Date,type,title_id,from_day,status,year,year_iso,quarter,month,week_iso,day_of_month,day_of_week
2013-08-22,,,,Рабочий,2013,2013,3,8,34,22,4
2013-08-23,,,,Рабочий,2013,2013,3,8,34,23,5
2013-08-24,,,,Выходной,2013,2013,3,8,34,24,6
2013-08-25,,,,Выходной,2013,2013,3,8,34,25,7
2013-08-26,,,,Рабочий,2013,2013,3,8,35,26,1
2013-08-27,,,,Рабочий,2013,2013,3,8,35,27,2
2013-08-28,,,,Рабочий,2013,2013,3,8,35,28,3
2013-08-29,,,,Рабочий,2013,2013,3,8,35,29,4
2013-08-30,,,,Рабочий,2013,2013,3,8,35,30,5
2013-08-31,,,,Выходной,2013,2013,3,8,35,31,6
2013-09-01,,,,Выходной,2013,2013,3,9,35,1,7
2013-09-02,,,,Рабочий,2013,2013,3,9,36,2,1
2013-09-03,,,,Рабочий,2013,2013,3,9,36,3,2
2013-09-04,,,,Рабочий,2013,2013,3,9,36,4,3
2013-09-05,,,,Рабочий,2013,2013,3,9,36,5,4
2013-09-06,,,,Рабочий,2013,2013,3,9,36,6,5
2013-09-07,,,,Выходной,2013,2013,3,9,36,7,6
2013-09-08,,,,Выходной,2013,2013,3,9,36,8,7
2013-09-09,,,,Рабочий,2013,2013,3,9,37,9,1
2013-09-10,,,,Рабочий,2013,2013,3,9,37,10,2
2013-09-11,,,,Рабочий,2013,2013,3,9,37,11,3
2013-09-12,,,,Рабочий,2013,2013,3,9,37,12,4
2013-09-13,,,,Рабочий,2013,2013,3,9,37,13,5
2013-09-14,,,,Выходной,2013,2013,3,9,37,14,6
2013-09-15,,,,Выходной,2013,2013,3,9,37,15,7
2013-09-16,,,,Рабочий,2013,2013,3,9,38,16,1
2013-09-17,,,,Рабочий,2013,2013,3,9,38,17,2
2013-09-18,,,,Рабочий,2013,2013,3,9,38,18,3
2013-09-19,,,,Рабочий,2013,2013,3,9,38,19,4
2013-09-20,,,,Рабочий,2013,2013,3,9,38,20,5
2013-09-21,,,,Выходной,2013,2013,3,9,38,21,6
2013-09-22,,,,Выходной,2013,2013,3,9,38,22,7
2013-09-23,,,,Рабочий,2013,2013,3,9,39,23,1
2013-09-24,,,,Рабочий,2013,2013,3,9,39,24,2
2013-09-25,,,,Рабочий,2013,2013,3,9,39,25,3
